name,fullname,synonyms,three_letter_code,parent,drugbank_id,release_status
00A,5'-O-[(S)-{[(4-chlorophenyl)carbonyl]oxy}(hydroxy)phosphoryl]adenosine,,00A,A,,REL
017,"(3R,3AS,6AR)-HEXAHYDROFURO[2,3-B]FURAN-3-YL(1S,2R)-3-[[(4-AMINOPHENYL)SULFONYL](ISOBUTYL)AMINO]-1-BENZYL-2-HYDROXYPROPYLCARBAMATE",Darunavir<br> TMC114<br> UIC-94017,017,,DB01264,REL
01A,4-Chlorophenacyl-coenzyme A,,01A,,,REL
01G,"8-morpholin-4-ylguanosine 5'-(tetrahydrogen triphosphate)
",,01G,,,REL
01K,"[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-4-hydroxy-3-(phosphonooxy)tetrahydrofuran-2-yl]methyl (3R,20R)-20-carbamoyl-3-hydroxy-2,2-dimethyl-4,8,14,22-tetraoxo-12-thia-5,9,15,21-tetraazatricos-1-yl dihydrogen diphosphate",Lysine-COENZYME A derivative,01K,,,REL
02I,"(6S,7S,8S,10R)-4-amino-8-hydroxy-7,8,9,10-tetrahydro-6H-7,10-epoxyazepino[1,2-e]purin-6-yl dihydrogen phosphate",,02I,,,REL
030,"(3R,3aR,5R,6aR)-3-hydroxyhexahydro-2H-cyclopenta[b]furan-5-yl hydrogen carbonate",,030,,,REL
03F,"(9Z)-N-[(2S,3R,4E)-1-(beta-D-glucopyranosyloxy)-3-hydroxyoctadec-4-en-2-yl]octadec-9-enamide",N-(9Z-octadecenoyl)-1--glucosyl-sphing-4-enine,03F,,,REL
045,beta-D-fructofuranosyl-(2->6)-beta-D-fructofuranosyl alpha-D-glucopyranoside,6-KESTOSE,045,,,OBS
04N,"2-amino-2-deoxy-4,6-O-(phenylmethylidene)-alpha-D-glucopyranose",,04N,,,REL
04O,"2-amino-2-deoxy-4,6-O-[(1R)-3-phenylpropylidene]-alpha-D-glucopyranose",,04O,,,REL
05A,"[(1R,3R,4R,7S)-3-[5-methyl-2,4-bis(oxidanylidene)pyrimidin-1-yl]-7-[2-[[(1S,3R,4R,7S)-3-[5-methyl-2,4-bis(oxidanylidene)pyrimidin-1-yl]-7-oxidanyl-2,5-dioxabicyclo[2.2.1]heptan-1-yl]methylamino]-2-oxidanylidene-ethyl]-2,5-dioxabicyclo[2.2.1]heptan-1-yl]methyl dihydrogen phosphate",,05A,"DT, DT",,REL
05E,"2-azanylethyl [(2~{S},3~{S},4~{S},5~{S},6~{R})-6-(hydroxymethyl)-2,4,5-tris(oxidanyl)oxan-3-yl] hydrogen phosphate",,05E,,,REL
05H,"[(1R,3R,4R,7S)-3-[5-methyl-2,4-bis(oxidanylidene)pyrimidin-1-yl]-7-[2-[[(2R,3S,5R)-5-[5-methyl-2,4-bis(oxidanylidene)pyrimidin-1-yl]-3-oxidanyl-oxolan-2-yl]methylamino]-2-oxidanylidene-ethyl]-2,5-dioxabicyclo[2.2.1]heptan-1-yl]methyl dihydrogen phosphate",,05H,"DT, DT",,REL
