Cluster nÂ°,Size,Inside score,Outside score,SASA,Apolar SASA,Polar SASA,Number of atoms
X1,2,0.39,0.22,414.0,257.0,157.12,62.0
D1,11,0.55,0.31,367.0,204.0,163.77,45.0
D2,11,0.77,0.32,308.0,187.0,121.78,56.0
D3,6,0.58,0.31,237.0,105.0,131.54,59.0
D4,9,0.68,0.3,319.0,160.0,159.21,62.0
D5,3,0.57,0.31,283.0,162.0,121.65,62.0
D6,11,0.69,0.32,388.0,235.0,152.89,57.0
D7,4,0.6,0.3,236.0,101.0,135.46,70.0
D8,4,0.63,0.33,230.0,148.0,82.32,59.0
D9,15,0.7,0.32,197.0,119.0,77.78,64.0
D10,7,0.68,0.29,348.0,223.0,124.14,68.0
D11,4,0.58,0.31,378.0,250.0,127.73,52.0
D12,6,0.61,0.3,383.0,256.0,127.06,54.0
D13,11,0.7,0.31,393.0,231.0,162.16,67.0
D14,9,0.71,0.31,404.0,236.0,168.0,61.0
D15,2,0.41,0.3,274.0,134.0,139.81,50.0
D16,2,0.48,0.33,243.0,170.0,72.91,56.0
D17,3,0.66,0.31,338.0,130.0,208.32,65.0
D18,5,0.49,0.28,314.0,171.0,143.26,62.0
D19,4,0.54,0.3,204.0,110.0,94.21,65.0
D20,3,0.58,0.27,374.0,219.0,154.71,61.0
D21,7,0.69,0.31,392.0,208.0,183.89,64.0
D22,2,0.41,0.27,288.0,184.0,104.74,59.0
D23,3,0.62,0.28,344.0,193.0,151.52,67.0
D24,5,0.63,0.31,399.0,207.0,191.28,67.0
D25,4,0.55,0.32,325.0,165.0,160.25,64.0
D26,5,0.58,0.32,363.0,200.0,163.76,62.0
D27,2,0.46,0.26,293.0,163.0,129.15,70.0
D28,2,0.53,0.33,411.0,292.0,118.72,51.0
D29,3,0.46,0.3,429.0,282.0,147.21,70.0
D30,3,0.44,0.31,234.0,116.0,118.28,55.0
D31,3,0.54,0.32,349.0,208.0,140.92,56.0
D32,2,0.5,0.31,226.0,115.0,110.63,65.0
D33,2,0.56,0.32,280.0,169.0,111.11,70.0
D34,7,0.62,0.32,406.0,244.0,162.46,51.0
D35,2,0.47,0.32,451.0,339.0,112.33,63.0
D36,2,0.46,0.3,451.0,324.0,126.28,54.0
D37,3,0.48,0.29,405.0,220.0,184.18,59.0
D38,2,0.54,0.31,373.0,136.0,236.54,52.0
D39,3,0.54,0.32,350.0,170.0,179.71,53.0
D40,4,0.64,0.31,321.0,186.0,135.13,55.0
D41,5,0.59,0.33,346.0,203.0,142.19,56.0
D42,2,0.4,0.33,342.0,241.0,101.18,76.0
D43,2,0.41,0.36,326.0,184.0,142.0,41.0
D44,2,0.4,0.37,327.0,162.0,165.17,40.0
D45,2,0.43,0.32,415.0,294.0,120.64,64.0
D46,2,0.44,0.35,291.0,228.0,63.17,54.0
D47,2,0.37,0.3,322.0,168.0,154.03,30.0
D48,2,0.44,0.3,343.0,143.0,199.6,51.0
D49,2,0.44,0.28,369.0,202.0,167.35,60.0
D50,2,0.48,0.32,375.0,185.0,190.1,56.0
D51,2,0.4,0.3,297.0,174.0,122.52,68.0
D52,2,0.49,0.31,426.0,198.0,227.94,50.0
D53,3,0.56,0.32,326.0,208.0,117.67,53.0
D54,2,0.44,0.31,314.0,139.0,175.22,61.0
D55,2,0.49,0.32,401.0,266.0,135.46,50.0
D56,2,0.42,0.29,408.0,193.0,214.93,49.0
D57,2,0.44,0.29,270.0,107.0,162.08,80.0
D58,2,0.45,0.34,282.0,159.0,122.44,53.0
D59,2,0.31,0.32,345.0,240.0,104.97,60.0
D60,2,0.38,0.32,289.0,156.0,132.93,65.0
D61,2,0.46,0.34,261.0,178.0,83.44,32.0
D62,2,0.35,0.36,227.0,125.0,102.55,42.0
D63,2,0.35,0.32,283.0,175.0,107.52,68.0
D64,2,0.38,0.29,405.0,265.0,140.0,65.0
D65,2,0.38,0.32,295.0,145.0,149.58,48.0
D66,2,0.46,0.36,312.0,173.0,138.77,44.0
D67,2,0.38,0.34,297.0,121.0,175.79,36.0
D68,2,0.45,0.35,272.0,169.0,103.63,36.0
S1,2,0.48,0.32,314.0,194.0,119.68,54.0
S2,2,0.43,0.3,392.0,208.0,184.18,67.0
S3,2,0.3,0.3,347.0,250.0,96.38,46.0
P1,3,0.47,0.32,448.0,219.0,228.4,58.0
P2,2,0.44,0.35,244.0,96.0,147.62,34.0
P3,2,0.39,0.35,370.0,109.0,261.62,59.0
P4,2,0.43,0.32,451.0,236.0,215.44,40.0
P5,2,0.42,0.33,387.0,165.0,221.28,48.0
P6,2,0.33,0.3,408.0,256.0,152.19,52.0
P7,2,0.31,0.31,403.0,217.0,186.77,48.0
A1,2,0.48,0.28,331.0,185.0,145.11,66.0
A2,2,0.49,0.31,348.0,200.0,148.26,66.0
A3,2,0.43,0.3,339.0,150.0,188.98,48.0
A4,2,0.29,0.3,390.0,223.0,167.25,42.0
M1,2,0.5,0.01,209.0,128.0,81.57,22.0
M2,22,0.64,0.34,399.0,216.0,182.5,43.0
M3,5,0.59,0.32,547.0,321.0,226.06,48.0
M4,6,0.52,0.32,561.0,366.0,195.79,54.0
M5,2,0.49,0.34,405.0,246.0,158.87,44.0
M6,6,0.61,0.36,302.0,211.0,90.56,36.0
M7,7,0.63,0.35,342.0,206.0,135.41,43.0
M8,2,0.39,0.32,530.0,332.0,197.33,49.0
M9,2,0.46,0.32,447.0,306.0,141.38,34.0
M10,5,0.64,0.35,378.0,183.0,195.09,46.0
M11,3,0.54,0.34,302.0,125.0,177.08,37.0
M12,4,0.56,0.36,407.0,234.0,172.86,52.0
M13,5,0.58,0.39,267.0,166.0,100.63,28.0
M14,3,0.54,0.36,401.0,287.0,114.56,46.0
M15,2,0.48,0.37,299.0,166.0,132.44,42.0
M16,2,0.48,0.36,323.0,149.0,173.82,40.0
M17,4,0.49,0.32,375.0,222.0,153.18,38.0
M18,5,0.54,0.34,399.0,249.0,150.51,55.0
M19,5,0.64,0.34,414.0,197.0,217.46,38.0
M20,2,0.48,0.33,314.0,143.0,170.44,36.0
M21,6,0.64,0.35,376.0,170.0,206.36,58.0
M22,5,0.54,0.31,259.0,137.0,121.88,52.0
M23,2,0.49,0.34,305.0,171.0,134.63,44.0
